WD16CD,WD16NM
E05004592,"Fawley, Blackfield and Langley"
E05007428,"Frensham, Dockenfield and Tilford"
E05005302,"Gisburn, Rimington"
E05009281,"Gobowen, Selattyn and Weston Rhyn"
E05000961,"Greasby, Frankby and Irby"
E05010783,"Hailey, Minster Lovell and Leafield"
E05005018,"Halstead, Knockholt and Badgers Mount"
E05000519,"Ham, Petersham and Richmond Riverside"
E05009550,"Hartlip, Newington and Upchurch"
E05008940,"Hastingwood, Matching and Sheering Village"
E05008493,"Havenstreet, Ashey and Haylands"
E05004071,"Herongate, Ingrave and West Horndon"
E05004157,"High Ongar, Willingale and The Rodings"
E05004773,"Hitchwood, Offa and Hoo"
E05004076,"Ingatestone, Fryerning and Mountnessing"
E05007658,"Itchingfield, Slinfold and Warnham"
E05008523,"Kilburn, Denby and Holbrook"
E05006642,"Kingham, Rollright and Enstone"
E05002689,"Lacey Green, Speen and the Hampdens"
E05009194,"Ladock, St Clement and St Erme"
E05010085,"Landkey, Swimbridge and Taw"
E05008367,"Laverstock, Ford and Old Sarum"
E05010710,"Lechlade, Kempsford & Fairford South"
E05008960,"Liden, Eldene and Park South"
E05004105,"Little Baddow, Danbury and Sandon"
E05009921,"Littlebury, Chesterford & Wenden Lofts"
E05004934,"Longfield, New Barn and Southfleet"
E05009205,"Looe West, Lansallos and Lanteglos"
E05009209,"Mabe, Perranarworthal and St Gluvias"
E05004248,"Manningtree, Mistley, Little Bentley and Tendring"
E05005491,"Markfield, Stanton and Fieldhead"
E05004951,"Maxton, Elms Vale and Priory"
E05007326,"Mickleham, Westhumble and Pixham"
E05005651,"Moulton, Weston and Cowbit"
E05001250,"Netherton, Woodside and St Andrews"
E05004447,"Overton, Laverstoke and Steventon"
E05009963,"Penshurst, Fordcombe and Chiddingstone"
E05003960,"Plumpton, Streat, East Chiltington and St John (Without)"
E05009235,"Probus, Tregony and Grampound"
E05010982,"Randwick, Whiteshill and Ruscombe"
E05005493,"Ratby, Bagworth and Thornton"
E05002387,"Remenham, Wargrave and Ruscombe"
E05001082,"Ryton, Crookhill and Stella"
E05006335,"Scalby, Hackness and Staintondale"
E05008524,"Shipley Park, Horsley and Horsley Woodhouse"
E05004977,"Shorne, Cobham and Luddesdown"
E05001706,"Snaith, Airmyn, Rawcliffe and Marshland"
E05004112,"South Hanningfield, Stock and Margaretting"
E05009252,"St Dominick, Harrowbarrow and Kelly Bray"
E05006645,"Standlake, Aston and Stanton Harcourt"
E05004259,"Thorrington, Frating, Elmstead and Great Bromley"
E05008808,"Westoning, Flitton and Greenfield"
E05007009,"Wheaton Aston, Bishopswood and Lapley"
E05009591,"Wrotham, Ightham and Stansted"
E05000026,Abbey
E05000455,Abbey
E05001260,Abbey
E05001767,Abbey
E05010458,Abbey
E05001935,Abbey
E05002319,Abbey
E05002674,Abbey
E05002702,Abbey
E05009996,Abbey
E05010696,Abbey
E05004628,Abbey
E05009544,Abbey
E05010784,Abbey
E05005890,Abbey
E05009708,Abbey
E05008136,Abbey
E05006917,Abbey
E05007474,Abbey
E05009778,Abbey
E05007868,Abbey
E05010673,Abbey Hill
E05008714,Abbey Hulton and Townsend
E05009012,Abbey North
E05000630,Abbey Road
E05009013,Abbey South
E05000214,Abbey Wood
E05010950,Abbeydale
E05007163,Abbeygate
E05010951,Abbeymead
E05009425,Abbots Langley & Bedmond
E05008857,Abbott
E05009388,Abingdon
E05009754,Abingdon Abbey Northcourt
E05009755,Abingdon Caldecott
E05009756,Abingdon Dunmore
E05009757,Abingdon Fitzharris
E05009758,Abingdon Peachcroft
E05008824,Abington
E05000840,Abram
E05009853,Acklam
E05005757,Acle
E05001178,Acocks Green
E05010311,Acomb
E05000170,Acton Central
E05000146,Addiscombe
E05000250,Addison
E05006273,Addlebrough
E05007348,Addlestone Bourneside
E05007349,Addlestone North
E05001411,Adel and Wharfedale
E05004691,Adeyfield East
E05004692,Adeyfield West
E05005165,Adlington and Anderton
E05009966,Admaston & Bratton
E05010758,Admirals and Cawston
E05010728,Adwick le Street & Carcroft
E05010502,Aggborough & Spennells
E05000932,Ainsdale
E05010774,Aire Valley with Lothersdale
E05001445,Airedale and Ferry Fryston
E05005801,Airfield
E05004629,Alamein
E05008137,Albrighton
E05010179,Alcester & Rural
E05010178,Alcester Town
E05008916,Alcombe
E05008525,Alconbury and The Stukeleys
E05000495,Aldborough
E05008327,Aldbourne and Ramsbury
E05004693,Aldbury and Wigginton
E05010432,Aldeburgh
E05004746,Aldenham East
E05004747,Aldenham West
E05008328,Alderbury and Whiteparish
E05009515,Alderholt
E05008610,Alderley Edge
E05002289,Aldermaston
E05010534,Alderney
E05009288,Aldersgate
E05008989,Aldershot Park
E05001301,Aldridge Central and South
E05001302,Aldridge North and Walsall Wood
E05009800,Aldwick East
E05009801,Aldwick West
E05000266,Alexandra
E05000400,Alexandra
E05000719,Alexandra
E05007117,Alexandra
E05009873,Alford
E05003280,Alfreton
E05007846,Alfrick and Leigh
E05003986,Alfriston
E05000027,Alibon
E05003114,All Saints
E05004288,All Saints
E05005987,All Saints
E05007103,All Saints
E05010237,All Saints & Wayland
E05000886,Allerton and Hunts Cross
E05001768,Allestree
E05004982,Allington
E05010128,Allington & Strete
E05008558,Almondbury
E05002043,Almondsbury
E05009093,Alnwick
E05000085,Alperton
E05011011,Alphington
E05003281,Alport
E05004226,Alresford
E05010995,Alresford and Itchen Valley
E05010651,Alrewas & Fradley
E05008611,Alsager
E05005293,Alston and Hothersall
E05003205,Alston Moor
E05009159,Altarnun
E05005206,Altham
E05004190,Althorne
E05001446,Altofts and Whitwood
E05007039,Alton
E05007076,Alton
E05004459,Alton Amery
E05004460,Alton Ashdell
E05004461,Alton Eastbrooke
E05004227,Alton Park
E05004462,Alton Westbrooke
E05004463,Alton Whitedown
E05004464,Alton Wooteys
E05000819,Altrincham
E05001769,Alvaston
E05009823,Alvechurch South
E05009824,Alvechurch Village
E05008138,Alveley and Claverley
E05004531,Alverstoke
E05006627,Alvescot and Filkins
E05001412,Alwoodley
E05010968,Amberley and Woodchester
E05005479,Ambien
E05009094,Amble
E05009095,Amble West with Warkworth
E05001236,Amblecote
E05003235,Ambleside and Grasmere
E05008599,Ambrook
E05002630,Amersham Common
E05002632,Amersham Town
E05002631,Amersham-on-the-Hill
E05008329,Amesbury East
E05008330,Amesbury West
E05009516,Ameysford
E05007066,Amington
E05006297,Amotherby
E05004630,Ampfield and Braishfield
E05006298,Ampleforth
E05004631,Amport
E05008778,Ampthill
E05001643,Anchorsholme
E05000687,Ancoats and Clayton
E05000887,Anfield
E05004532,Anglesey
E05006918,Anglesey
E05009802,Angmering & Findon
E05004632,Anna
E05010674,Annesley & Kirkby Woodhouse
E05009030,Annfield Plain
E05005185,Ansdell
E05005426,Anstey
E05008935,Anston and Woodsetts
E05009967,Apley Castle
E05010090,Appleby
E05003206,Appleby (Appleby)
E05003207,Appleby (Bongate)
E05003615,Appledore
E05001577,Appleton
E05011024,Appleton
E05004082,Appleton
E05010044,Appleton Roebuck & Church Fenton
E05009672,Appleton Wiske & Smeatons
E05004694,Apsley and Corner Hall
E05001770,Arboretum
E05001822,Arboretum
E05007880,Arboretum
E05002372,Arborfield
E05002703,Arbury
E05004761,Arbury
E05007475,Arbury
E05009779,Arden
E05007668,Ardingly and Balcombe
E05004228,Ardleigh and Little Bromley
E05001413,Ardsley and Robin Hood
E05000688,Ardwick
E05010503,Areley Kings & Riverside
E05003180,Arlecdon
E05008779,Arlesey
E05009968,Arleston
E05007457,Arley and Whitacre
E05010652,Armitage with Handsacre
E05001414,Armley
E05010729,Armthorpe
E05003236,Arnside and Beetham
E05008479,Arreton and Newchurch
E05009438,Arrow
E05009803,Arundel & Walberton
E05002271,Ascot
E05002349,Ascot and Cheapside
E05006628,Ascott and Shipton
E05005495,Asfordby
E05009956,Ash and New Ash Green
E05007286,Ash South and Tongham
E05007287,Ash Vale
E05007288,Ash Wharf
E05003342,Ashbourne North
E05003343,Ashbourne South
E05001389,Ashbrow
E05000147,Ashburton
E05003591,Ashburton and Buckfastleigh
E05001728,Ashby
E05010091,Ashby Castle
E05005618,Ashby de la Launde and Cranwell
E05010092,Ashby Holywell
E05010093,Ashby Ivanhoe
E05010094,Ashby Money Hill
E05010095,Ashby Willesley
E05010096,Ashby Woulds
E05004408,Ashchurch with Walton Cardiff
E05009910,Ashdon
E05003929,Ashdown
E05002633,Asheridge Vale and Lowndes
E05010675,Ashfields
E05007362,Ashford Common
E05007363,Ashford East
E05007364,Ashford North and Stanwell South
E05007365,Ashford Town
E05010238,Ashill
E05009096,Ashington Central
E05010885,Ashley
E05004785,Ashley
E05003417,Ashover
E05004695,Ashridge
E05007308,Ashtead Common
E05007309,Ashtead Park
E05007310,Ashtead Village
E05000841,Ashton
E05005186,Ashton
E05005270,Ashton
E05000800,Ashton Hurst
E05000801,Ashton St Michael's
E05000820,Ashton upon Mersey
E05000802,Ashton Waterloo
E05005357,Ashurst
E05007669,Ashurst Wood
E05000251,Askew
E05003208,Askham
E05003115,Aspatria
E05001823,Aspley
E05008780,Aspley and Woburn
E05000842,Aspull New Springs Whelley
E05005843,Astley
E05005166,Astley and Buckshaw
E05000650,Astley Bridge
E05000843,Astley Mosley Common
E05001179,Aston
E05008809,Aston
E05010332,Aston Clinton & Stoke Mandeville
E05009825,Aston Fields
E05006027,Astwell
E05007869,Astwood Bank and Feckenham
E05000844,Atherleigh
E05007458,Atherstone Central
E05007459,Atherstone North
E05007460,Atherstone South and Mancetter
E05000845,Atherton
E05010514,Attenborough & Chilwell East
E05007476,Attleborough
E05010240,Attleborough Burgh & Haverscroft
E05010241,Attleborough Queens & Besthorpe
E05000803,Audenshaw
E05008612,Audlem
E05001620,Audley
E05006964,Audley and Bignall End
E05005358,Aughton and Downholland
E05005359,Aughton Park
E05007273,Auriol
E05002635,Austenwood
E05010148,Aveland
E05002229,Aveley and Uplands
E05001664,Avenue
E05010180,Avenue
E05009826,Avoncroft
E05005988,Avondale Grange
E05000252,Avonmore and Brook Green
E05010886,Avonmouth and Lawrence Weston
E05004337,Awre
E05010604,Awsworth Road
E05008893,Axevale
E05001729,Axholme Central
E05001730,Axholme North
E05001731,Axholme South
E05003459,Axminster Rural
E05003460,Axminster Town
E05009031,Aycliffe East
E05009032,Aycliffe North and Middridge
E05009033,Aycliffe West
E05009780,Aylesford
E05004867,Aylesford Green
E05009568,Aylesford North and Walderslade
E05009569,Aylesford South
E05004943,Aylesham
E05010459,Aylestone
E05009439,Aylestone Hill
E05005758,Aylsham
E05009854,Ayresome
E05001218,Bablake
E05009440,Backbury
E05010276,Backwell
E05007133,Bacton and Old Newton
E05007461,Baddesley and Grendon
E05010996,Badger Farm and Oliver's Battery
E05008563,Badgeworth
E05007895,Badsey
E05007134,Badwell Ash
E05002441,Baffins
E05009673,Bagby & Thorntons
E05008139,Bagley
E05007040,Bagnall and Stanley
E05006919,Bagots
E05007375,Bagshot
E05000689,Baguley
E05001341,Baildon
E05003930,Baird
E05003344,Bakewell
E05010730,Balby South
E05000739,Balderstone and Kirkholt
E05010063,Balderton North & Coddington
E05010064,Balderton South
E05004762,Baldock East
E05004763,Baldock Town
E05007847,Baldwin
E05000610,Balham
E05002791,Balsham
E05010214,Bamber Bridge East
E05010215,Bamber Bridge West
E05009097,Bamburgh
E05000740,Bamford
E05006629,Bampton and Clanfield
E05010920,Banbury Calthorpe and Easington
E05010921,Banbury Cross and Neithrop
E05010922,Banbury Grimsbury and Hightown
E05010923,Banbury Hardwick
E05010924,Banbury Ruscote
E05004805,Bandley Hill
E05005150,Bank Hall
E05010412,Bank Top & Lascelles
E05007329,Banstead Village
E05010277,Banwell & Winscombe
E05002792,Bar Hill
E05007477,Bar Pool
E05009014,Barby and Kilsby
E05003945,Barcombe and Hamsey
E05010775,Barden Fell
E05009636,Bardney
E05010097,Bardon
E05007164,Bardwell
E05009592,Bare
E05002455,Bargate
E05002373,Barkham
E05007135,Barking and Somersham
E05000496,Barkingside
E05010479,Barlaston
E05003303,Barlborough
E05010045,Barlby Village
E05003418,Barlow and Holmesfield
E05004983,Barming
E05010623,Barms
E05010805,Barnack
E05009034,Barnard Castle East
E05009035,Barnard Castle West
E05004566,Barncroft
E05000064,Barnehurst
E05000516,Barnes
E05001153,Barnes
E05002193,Barnfield
E05005207,Barnfield
E05009804,Barnham
E05000086,Barnhill
E05000324,Barnhill
E05007165,Barningham
E05000366,Barnsbury
E05009827,Barnt Green & Hopwood
E05005965,Barnwell
E05010952,Barnwood
E05007166,Barrow
E05005427,Barrow and Sileby West
E05003323,Barrow Hill and New Whittington
E05003145,Barrow Island
E05005250,Barrowford
E05001180,Bartley Green
E05000759,Barton
E05001732,Barton
E05002793,Barton
E05004581,Barton
E05010391,Barton
E05005989,Barton
E05006274,Barton
E05006545,Barton and Sandhills
E05010953,Barton and Tredworth
E05008781,Barton-le-Clay
E05005481,Barwell
E05001824,Basford
E05004582,Bashley
E05002290,Basildon
E05004430,Basing
E05009491,Bassenhally
E05002456,Bassett
E05002794,Bassingbourn
E05005619,Bassingham and Brant Broughton
E05001621,Bastwell
E05010480,Baswich
E05007870,Batchley & Brockhill
E05004786,Batchwood
E05001936,Bathavon North
E05001937,Bathavon South
E05001938,Bathavon West
E05001939,Bathwick
E05001390,Batley East
E05001391,Batley West
E05007881,Battenhall
E05004567,Battins
E05002320,Battle
E05001115,Battle Hill
E05003966,Battle Town
E05004289,Battledown
E05008140,Battlefield
E05004431,Baughurst and Tadley North
E05005208,Baxenden
E05009337,Baylis and Stoke
E05000631,Bayswater
E05009805,Beach
E05010065,Beacon
E05001135,Beacon and Bents
E05005081,Beacon Road
E05010568,Beaconsfield North
E05010569,Beaconsfield South
E05010570,Beaconsfield West
E05010580,Beaminster
E05004926,Bean and Darenth
E05010264,Beanfield
E05001622,Beardwood with Lammack
E05007311,Beare Green
E05004984,Bearsted
E05010857,Beauchief and Greenhill
E05004229,Beaumont and Thorpe
E05010460,Beaumont Leys
E05004868,Beaver
E05000954,Bebington
E05007228,Beccles North
E05007229,Beccles South
E05005913,Beck Vale
E05003181,Beckermet
E05006377,Beckingham
E05006762,Beckington and Selwood
E05000475,Beckton
E05000028,Becontree
E05004583,Becton
E05009674,Bedale
E05000555,Beddington North
E05000556,Beddington South
E05001136,Bede
E05007478,Bede
E05000346,Bedfont
E05000611,Bedford
E05010333,Bedgrove
E05004568,Bedhampton
E05010239,Bedingfeld
E05009098,Bedlington Central
E05009099,Bedlington East
E05009100,Bedlington West
E05010887,Bedminster
E05007882,Bedwardine
E05004806,Bedwell
E05001578,Beechwood
E05003461,Beer and Branscombe
E05001415,Beeston and Holbeck
E05010516,Beeston Central
E05010517,Beeston North
E05010518,Beeston Rylands
E05010519,Beeston West
E05010858,Beighton
E05003158,Belah
E05009828,Belbroughton & Romsley
E05002212,Belfairs
E05010461,Belgrave
E05007067,Belgrave
E05002230,Belhus
E05000888,Belle Vale
E05001237,Belle Vale
E05003159,Belle Vue
E05008142,Belle Vue
E05000437,Bellingham
E05009101,Bellingham
E05000285,Belmont
E05000557,Belmont
E05002350,Belmont
E05009036,Belmont
E05010149,Belmont
E05009441,Belmont Rural
E05003282,Belper Central
E05003283,Belper East
E05003284,Belper North
E05008520,Belper South
E05000128,Belsize
E05010392,Beltinge
E05000065,Belvedere
E05010150,Belvoir
E05005130,Benenden and Cranbrook
E05009037,Benfieldside
E05007896,Bengeworth
E05004290,Benhall and The Reddings
E05008974,Benn
E05004696,Bennetts End
E05000148,Bensham Manor
E05009733,Benson & Crowmarsh
E05006191,Bentham
E05008716,Bentilee and Ubberley
E05010731,Bentley
E05001303,Bentley and Darlaston North
E05001116,Benton
E05001089,Benwell and Scotswood
E05010550,Bere Ferrers
E05010749,Bere Regis
E05010827,Berechurch
E05009734,Berinsfield
E05010969,Berkeley Vale
E05004697,Berkhamsted Castle
E05004698,Berkhamsted East
E05004699,Berkhamsted West
E05007077,Berners
E05001825,Berridge
E05008894,Berrow
E05002098,Berry Head-with-Furzeham
E05004338,Berry Hill
E05008858,Berry Hill
E05000401,Berrylands
E05009806,Bersted
E05009102,Berwick East
E05009855,Berwick Hills & Pallister
E05009103,Berwick North
E05009104,Berwick West with Ord
E05010732,Bessacarr
E05000670,Besses
E05001826,Bestwood
E05009689,Bestwood St Albans
E05009317,Bethnal Green
E05000402,Beverley
E05001665,Beverley
E05001687,Beverley Rural
E05002457,Bevois
E05007631,Bewbush
E05010504,Bewdley & Rock
E05011025,Bewsey and Whitecross
E05010925,Bicester East
E05010926,Bicester North and Caversfield
E05010927,Bicester South and Ambrosden
E05010928,Bicester West
E05001284,Bickenhill
E05005380,Bickerstaffe
E05003533,Bickington and Roundswell
E05010129,Bickleigh & Cornwood
E05000106,Bickley
E05004096,Bicknacre and East and West Hanningfield
E05004869,Biddenden
E05001137,Biddick and All Saints
E05007041,Biddulph East
E05007042,Biddulph Moor
E05007043,Biddulph North
E05007044,Biddulph South
E05007045,Biddulph West
E05003616,Bideford East
E05003617,Bideford North
E05003618,Bideford South
E05010181,Bidford East
E05010182,Bidford West & Salford
E05000955,Bidston and St James
E05000107,Biggin Hill
E05008782,Biggleswade North
E05008783,Biggleswade South
E05001827,Bilborough
E05006988,Bilbrook
E05004021,Billericay East
E05004022,Billericay West
E05005454,Billesdon
E05001181,Billesley
E05008825,Billing
E05000916,Billinge and Seneley Green
E05001527,Billingham Central
E05001528,Billingham East
E05001529,Billingham North
E05001530,Billingham South
E05001531,Billingham West
E05010086,Billingshurst and Shipley
E05005294,Billington and Old Langho
E05010066,Bilsthorpe
E05001321,Bilston East
E05001322,Bilston North
E05006238,Bilton
E05008975,Bilton
E05009874,Binbrook
E05002272,Binfield with Warfield
E05009709,Bingham East
E05009710,Bingham West
E05001342,Bingley
E05001343,Bingley Rural
E05001219,Binley and Willenhall
E05008480,Binstead and Fishbourne
E05004465,Binsted and Bentley
E05009442,Birch
E05009493,Birch
E05002291,Birch Copse
E05005360,Birch Green
E05009443,Bircher
E05008717,Birches Head and Central Forest Park
E05001579,Birchfield
E05001304,Birchills Leamore
E05005082,Birchington North
E05005083,Birchington South
E05011026,Birchwood
E05010785,Birchwood
E05000933,Birkdale
E05000956,Birkenhead and Tranmere
E05010859,Birley
E05001392,Birstall and Birkenshaw
E05005428,Birstall Wanlip
E05005429,Birstall Watermead
E05001067,Birtley
E05002194,Biscot
E05002351,Bisham and Cookham
E05009038,Bishop Auckland Town
E05009039,Bishop Middleham and Cornforth
E05006239,Bishop Monkton
E05000416,Bishop's
E05008143,Bishop's Castle
E05006858,Bishop's Hull
E05010183,Bishop's Itchington
E05006859,Bishop's Lydeard
E05003534,Bishop's Nympton
E05004716,Bishop's Stortford All Saints
E05004717,Bishop's Stortford Central
E05004718,Bishop's Stortford Meads
E05004719,Bishop's Stortford Silverleys
E05004720,Bishop's Stortford South
E05009781,Bishop's Tachbrook
E05010997,Bishop's Waltham
E05009444,Bishops Frome & Cradley
E05001532,Bishopsgarth and Elm Tree
E05003592,Bishopsteignton
E05004497,Bishopstoke East
E05004498,Bishopstoke West
E05010888,Bishopston and Ashley Down
E05010889,Bishopsworth
E05010312,Bishopthorpe
E05010184,Bishopton
E05010970,Bisley
E05007376,Bisley
E05001644,Bispham
E05002458,Bitterne
E05002459,Bitterne Park
E05002044,Bitton
E05007118,Bixley
E05005408,Blaby South
E05010130,Blackawton & Stoke Fleming
E05006546,Blackbird Leys
E05000917,Blackbrook
E05010624,Blackbrook
E05006819,Blackdown
E05006860,Blackdown
E05000066,Blackfen and Lamorbey
E05010098,Blackfordby
E05009040,Blackhalls
E05000438,Blackheath
E05001261,Blackheath
E05007412,Blackheath and Wonersh
E05000215,Blackheath Westcombe
E05006820,Blackmoor Vale
E05009997,Blackmore
E05005251,Blacko and Higherford
E05009318,Blackwall & Cubitt Town
E05004633,Blackwater
E05009352,Blackwater and Hawley
E05003304,Blackwell
E05008662,Blacon
E05010278,Blagdon & Churchill
E05001771,Blagreaves
E05004339,Blaisdon and Longhope
E05010505,Blakebrook & Habberley South
E05001090,Blakelaw
E05001305,Blakenall
E05001323,Blakenhall
E05006028,Blakesley and Cote
E05009998,Blandford Central
E05009999,Blandford Hilltop
E05010000,Blandford Langton St Leonards
E05010001,Blandford Old Town
E05002099,Blatchcombe
E05001068,Blaydon
E05010393,Blean Forest
E05002675,Bledlow and Bradenham
E05000067,Blendon and Penhill
E05002213,Blenheim Park
E05007409,Bletchingley and Nutfield
E05009406,Bletchley East
E05009407,Bletchley Park
E05009408,Bletchley West
E05009759,Blewbury & Harwell
E05006029,Blisworth and Roade
E05010697,Blockley
E05005759,Blofield with South Walsham
E05001645,Bloomfield
E05000129,Bloomsbury
E05001306,Bloxwich East
E05001307,Bloxwich West
E05000934,Blundellsands
E05010755,Blunsdon and Highworth
E05008718,Blurton East
E05008719,Blurton West and Newstead
E05006378,Blyth
E05001285,Blythe
E05007230,Blything
E05009445,Bobblestock
E05004870,Bockhanger
E05010365,Bocking Blackwater
E05010366,Bocking North
E05010367,Bocking South
E05004230,Bockings Elm
E05009160,Bodmin St Leonard
E05009161,Bodmin St Mary's
E05009162,Bodmin St Petroc
E05000918,Bold
E05001138,Boldon Colliery
E05004584,Boldre and Sway
E05007068,Bolehall
E05010653,Boley Park
E05000476,Boleyn
E05008613,Bollington
E05007670,Bolney
E05003305,Bolsover North West
E05003306,Bolsover South
E05003307,Bolsover West
E05009593,Bolton & Slyne
E05001344,Bolton and Undercliffe
E05006275,Bolton Castle
E05003116,Boltons
E05004569,Bondfields
E05010654,Boney Hay & Central
E05008546,Boniface
E05002676,Booker and Cressex
E05007312,Bookham North
E05007313,Bookham South
E05008720,Boothen and Oak Hill
E05001666,Boothferry
E05000760,Boothstown and Ellenbrook
E05008826,Boothville
E05003182,Bootle
E05009546,Borden and Grove Park
E05001182,Bordesley Green
E05004097,Boreham and The Leighs
E05004748,Borehamwood Brookmeadow
E05004749,Borehamwood Cowley Hill
E05004750,Borehamwood Hillside
E05004751,Borehamwood Kenilworth
E05009570,Borough Green and Long Mill
E05006240,Boroughbridge
E05002113,Boscombe East
E05002114,Boscombe West
E05007602,Bosham
E05001019,Boston Castle
E05005455,Bosworth
E05003160,Botcherby
E05009105,Bothal
E05004499,Botley
E05009760,Botley & Sunningwell
E05001733,Bottesford
E05005496,Bottesford
E05002716,Bottisham
E05000325,Botwell
E05008663,Boughton
E05010067,Boughton
E05004871,Boughton Aluph and Eastwell
E05009547,Boughton and Courtenay
E05004985,Boughton Monchelsea and Chart Sutton
E05005252,Boulsworth
E05010786,Boultham
E05001772,Boulton
E05000267,Bounds Green
E05002795,Bourn
E05009932,Bourne
E05008331,Bourne and Woodford Valley
E05010151,Bourne Austerby
E05010152,Bourne East
E05002677,Bourne End-cum-Hedsor
E05010655,Bourne Vale
E05004634,Bourne Valley
E05010153,Bourne West
E05001183,Bournville
E05010698,Bourton Vale
E05010699,Bourton Village
E05003593,Bovey
E05009319,Bow East
E05009320,Bow West
E05008144,Bowbrook
E05007897,Bowbrook
E05000821,Bowdon
E05002678,Bowerdean
E05000193,Bowes
E05001345,Bowling and Barkerend
E05005877,Bowthorpe
E05008332,Box and Colerne
E05007314,Box Hill and Headley
E05007078,Boxford
E05007603,Boxgrove
E05004986,Boxley
E05004701,Boxmoor
E05004083,Boyce
E05002045,Boyd Valley
E05002352,Boyn Hill
E05010028,Bozeat
E05005621,Bracebridge Heath and Waddington East
E05006030,Brackley East
E05006031,Brackley South
E05006032,Brackley West
E05008721,Bradeley and Chell Heath
E05000690,Bradford
E05001346,Bradford Moor
E05008333,Bradford-on-Avon North
E05008334,Bradford-on-Avon South
E05006861,Bradford-on-Tone
E05003594,Bradley
E05005253,Bradley
E05002046,Bradley Stoke Central and Stoke Lodge
E05002047,Bradley Stoke North
E05002048,Bradley Stoke South
E05003510,Bradninch
E05000651,Bradshaw
E05005084,Bradstowe
E05009409,Bradwell
E05003345,Bradwell
E05006965,Bradwell
E05005784,Bradwell North
E05005785,Bradwell South and Hopton
E05006033,Brafield and Yardley
E05010185,Brailes & Compton
E05003346,Brailsford
E05010368,Braintree Central & Beckers Green
E05010369,Braintree South
E05010370,Braintree West
E05009856,Brambles & Thorntree
E05008549,Brambleside
E05010520,Bramcote
E05007136,Bramford and Blakenham
E05000779,Bramhall North
E05000780,Bramhall South and Woodford
E05002195,Bramingham
E05004437,Bramley and Sherfield
E05001416,Bramley and Stanningley
E05000068,Brampton
E05002763,Brampton
E05003161,Brampton
E05003419,Brampton and Walton
E05004466,Bramshott and Liphook
E05005802,Brancaster
E05009041,Brandon
E05007104,Brandon East
E05007105,Brandon West
E05001184,Brandwood
E05010535,Branksome East
E05010536,Branksome West
E05004586,Bransgore and Burley
E05001667,Bransholme East
E05001668,Bransholme West
E05005622,Branston
E05006920,Branston
E05003183,Bransty
E05003535,Bratton Fleming
E05004721,Braughing
E05001806,Braunston and Belton
E05009015,Braunston and Welton
E05010462,Braunstone Park & Rowley Fields
E05003536,Braunton East
E05003537,Braunton West
E05002353,Bray
E05003931,Braybrooke
E05010046,Brayton
E05004340,Bream
E05010605,Breaston
E05009933,Breck
E05000781,Bredbury and Woodley
E05000782,Bredbury Green and Romiley
E05003967,Brede Valley
E05007898,Bredon
E05000652,Breightmet
